feature,importance
DEF_30_CNT_SOCIAL_CIRCLE,490.52040429115294
CC_SK_DPD_DEF_mean,488.7282663345337
PREV_CNT_PAYMENT_min,486.3431706905365
REGION_RATING_MEAN,485.2868432998657
CC_AMT_BALANCE_mean,481.9117969512939
CC_CNT_DRAWINGS_ATM_CURRENT_max,481.5981952667236
EXT_SOURCE_2_SQUARED,477.4210319519043
CC_AMT_INST_MIN_REGULARITY_max,476.4578715324402
FLOORSMIN_AVG,475.5085898399353
CC_AMT_INST_MIN_REGULARITY_sum,466.283474445343
CC_AMT_RECIVABLE_max,464.05946826934814
POS_TOTAL_DPD,462.5522192239761
YEARS_BUILD_MODE,459.93113656044005
CC_AMT_DRAWINGS_POS_CURRENT_max,457.64247889518737
PREV_NAME_CONTRACT_STATUS_APPROVED_sum,453.0748924732208
CC_AMT_DRAWINGS_CURRENT_max,450.96568379402163
CC_AMT_RECEIVABLE_PRINCIPAL_mean,449.0360538482666
ENTRANCES_MODE,446.65289216041566
NONLIVINGAREA_MEDI,445.9243238449097
NAME_HOUSING_TYPE,445.2510308742523
CC_AMT_CREDIT_LIMIT_ACTUAL_min,443.89468536376955
BUREAU_AMT_CREDIT_SUM_OVERDUE_sum,443.3934965610504
CC_AMT_PAYMENT_CURRENT_min,440.0114552974701
INST_NUM_INSTALMENT_VERSION_max,439.4378751277924
CC_AMT_RECEIVABLE_PRINCIPAL_max,431.0981234550476
CC_POS_DRAWINGS_RATIO_mean,429.0018510341644
WALLSMATERIAL_MODE,424.19873452186584
INST_SIGNIFICANT_LATE_sum,420.48477325439455
CC_MONTHS_BALANCE_mean,410.61474108695984
CC_CNT_INSTALMENT_MATURE_CUM_max,408.8572371482849
BUREAU_OVERDUE_RATIO,402.41214685440065
LIVINGAPARTMENTS_MEDI,399.4363392829895
CC_CNT_DRAWINGS_ATM_CURRENT_sum,399.4055643081665
NAME_CONTRACT_TYPE,397.89983386993407
CC_MONTHS_BALANCE_min,397.2584851741791
CC_AMT_DRAWINGS_POS_CURRENT_sum,396.99928736686707
NONLIVINGAPARTMENTS_AVG,395.8287757396698
CC_AMT_BALANCE_min,392.95877771377565
CC_AMT_INST_MIN_REGULARITY_mean,385.0114420890808
INST_PAID_UNDER_sum,376.1935423374176
ELEVATORS_AVG,351.91583676338195
FLAG_OWN_CAR,347.28585729599
CNT_FAM_MEMBERS,343.326273059845
